agentic,monthly_users,log_mu,runs_30d_total,log_runs
True,1,0.6931471805599453,29,3.4011973816621555
False,0,0.0,0,0.0
True,1,0.6931471805599453,29,3.4011973816621555
False,1,0.6931471805599453,29,3.4011973816621555
True,6,1.9459101490553132,66,4.204692619390966
True,9,2.302585092994046,74,4.31748811353631
True,5,1.791759469228055,106,4.672828834461906
True,12,2.5649493574615367,120,4.795790545596741
True,9,2.302585092994046,113,4.736198448394496
True,0,0.0,30,3.4339872044851463
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,21,3.091042453358316
True,1,0.6931471805599453,19,2.995732273553991
True,1,0.6931471805599453,18,2.9444389791664403
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,24,3.2188758248682006
True,1,0.6931471805599453,23,3.1780538303479458
True,1,0.6931471805599453,23,3.1780538303479458
True,1,0.6931471805599453,23,3.1780538303479458
True,1,0.6931471805599453,27,3.332204510175204
True,1,0.6931471805599453,27,3.332204510175204
True,1,0.6931471805599453,27,3.332204510175204
False,0,0.0,0,0.0
True,0,0.0,29,3.4011973816621555
True,0,0.0,29,3.4011973816621555
True,1,0.6931471805599453,31,3.4657359027997265
True,0,0.0,22,3.1354942159291497
True,0,0.0,28,3.367295829986474
True,7,2.0794415416798357,52,3.970291913552122
True,1,0.6931471805599453,29,3.4011973816621555
True,0,0.0,40,3.713572066704308
False,0,0.0,1,0.6931471805599453
False,6,1.9459101490553132,2441,7.80057265467065
False,2,1.0986122886681098,147,4.997212273764115
False,4,1.6094379124341003,69,4.248495242049359
False,3,1.3862943611198906,35,3.58351893845611
False,1,0.6931471805599453,162,5.093750200806762
False,1,0.6931471805599453,29,3.4011973816621555
False,1,0.6931471805599453,260,5.564520407322694
False,1,0.6931471805599453,29,3.4011973816621555
False,1,0.6931471805599453,29,3.4011973816621555
False,0,0.0,29,3.4011973816621555
False,1,0.6931471805599453,29,3.4011973816621555
False,1,0.6931471805599453,60,4.110873864173311
False,0,0.0,30,3.4339872044851463
False,0,0.0,30,3.4339872044851463
False,0,0.0,29,3.4011973816621555
False,0,0.0,29,3.4011973816621555
False,1,0.6931471805599453,29,3.4011973816621555
False,0,0.0,30,3.4339872044851463
True,0,0.0,31,3.4657359027997265
True,0,0.0,31,3.4657359027997265
False,2,1.0986122886681098,1,0.6931471805599453
True,2,1.0986122886681098,30,3.4339872044851463
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,30,3.4339872044851463
True,1,0.6931471805599453,29,3.4011973816621555
True,138,4.9344739331306915,37745,10.538634788798085
False,36,3.6109179126442243,1166,7.062191632286556
False,10,2.3978952727983707,1752,7.469083884921234
True,12,2.5649493574615367,659,6.492239835020471
True,17,2.8903717578961645,296,5.6937321388027
False,1,0.6931471805599453,41,3.7376696182833684
False,1,0.6931471805599453,730,6.594413459749778
False,1,0.6931471805599453,28,3.367295829986474
False,1,0.6931471805599453,29,3.4011973816621555
False,0,0.0,29,3.4011973816621555
True,0,0.0,31,3.4657359027997265
True,1,0.6931471805599453,30,3.4339872044851463
True,1,0.6931471805599453,30,3.4339872044851463
True,3,1.3862943611198906,48,3.8918202981106265
True,1,0.6931471805599453,49,3.912023005428146
True,3,1.3862943611198906,45,3.828641396489095
True,0,0.0,29,3.4011973816621555
True,1,0.6931471805599453,12,2.5649493574615367
True,129,4.867534450455582,37335,10.527713287629652
True,9,2.302585092994046,1185,7.078341579557671
True,16,2.833213344056216,995,6.903747257584598
True,4,1.6094379124341003,527,6.269096283706261
True,4,1.6094379124341003,2158,7.677400430514807
True,13,2.6390573296152584,25,3.258096538021482
True,3,1.3862943611198906,12,2.5649493574615367
True,3,1.3862943611198906,10,2.3978952727983707
True,1,0.6931471805599453,58,4.07753744390572
True,0,0.0,30,3.4339872044851463
True,1,0.6931471805599453,1,0.6931471805599453
True,0,0.0,1,0.6931471805599453
True,0,0.0,3,1.3862943611198906
True,1,0.6931471805599453,2,1.0986122886681098
True,1,0.6931471805599453,23,3.1780538303479458
True,1,0.6931471805599453,22,3.1354942159291497
True,1,0.6931471805599453,23,3.1780538303479458
True,1,0.6931471805599453,23,3.1780538303479458
True,1,0.6931471805599453,23,3.1780538303479458
True,1,0.6931471805599453,30,3.4339872044851463
False,6,1.9459101490553132,166,5.117993812416755
True,1,0.6931471805599453,2,1.0986122886681098
True,3,1.3862943611198906,37,3.6375861597263857
False,0,0.0,29,3.4011973816621555
False,1,0.6931471805599453,8,2.1972245773362196
True,1,0.6931471805599453,30,3.4339872044851463
True,0,0.0,29,3.4011973816621555
True,0,0.0,0,0.0
True,0,0.0,2,1.0986122886681098
False,3,1.3862943611198906,29,3.4011973816621555
False,0,0.0,29,3.4011973816621555
True,4,1.6094379124341003,36,3.6109179126442243
True,0,0.0,29,3.4011973816621555
True,1,0.6931471805599453,4,1.6094379124341003
True,1,0.6931471805599453,4,1.6094379124341003
True,1,0.6931471805599453,3,1.3862943611198906
True,390,5.968707559985366,17194,9.752373922866367
True,0,0.0,1,0.6931471805599453
True,0,0.0,0,0.0
True,1,0.6931471805599453,4,1.6094379124341003
True,2,1.0986122886681098,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,29,3.4011973816621555
False,1,0.6931471805599453,29,3.4011973816621555
True,1,0.6931471805599453,23,3.1780538303479458
True,28,3.367295829986474,2851,7.955775781534187
True,16,2.833213344056216,341,5.834810737062605
False,52,3.970291913552122,1206,7.095893221097532
True,31,3.4657359027997265,628,6.444131256700441
True,47,3.871201010907891,2760,7.923348211930154
True,15,2.772588722239781,258,5.556828061699537
True,18,2.9444389791664403,716,6.57507584059962
True,12,2.5649493574615367,109,4.700480365792417
True,21,3.091042453358316,356,5.877735781779639
True,5,1.791759469228055,68,4.23410650459726
True,85,4.454347296253507,1574,7.362010551259734
True,2,1.0986122886681098,170,5.14166355650266
True,4,1.6094379124341003,673,6.513230110912307
True,15,2.772588722239781,161,5.087596335232384
True,14,2.70805020110221,415,6.030685260261263
True,3,1.3862943611198906,1432,7.267525427828172
True,6,1.9459101490553132,220,5.3981627015177525
True,3,1.3862943611198906,129,4.867534450455582
